ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	input	output	partonomy	objective	associated axioms
ID	A rdfs:label	A editor preferred term	AI has curation status	A alternative term SPLIT=|	A definition SPLIT=|	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE	C %	C has_specified_input some %	C has_specified_output some %	C 'has part' some % SPLIT=|	C achieves_planned_objective some %	C %
sb:PubicAgeDetermination	Pubic age determination	Pubic age estimation			An investigation that estimates age at death for a skeletal specimen by assessment of the degradation of its pubic symphysis according to the Suchey-Brooks protocol.	Felix Engel		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""",Felix Engel"					subclass	obo:OBI_0000066			sb:PubicAgeDeterminationPlanning|sb:PubicAgeDeterminationExecution|sb:PubicAgeDeterminationConclusion		
